,x_R_1,x_C_L,x_L_L,x_g_m,x_r_o,x_C_3,Q,wo,bandwidth,K_BP
114,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.007742636826811269,100000.0,1e-13,13802.804,143070984601.341,10365356.783,155052.737
115,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.01291549665014884,100000.0,1e-13,19401.643,143070984601.341,7374168.382,258509.933
116,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.021544346900318832,100000.0,1e-13,28741.071,143070984601.341,4977928.139,431086.938
117,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.03593813663804626,100000.0,1e-13,44320.175,143070984601.341,3228123.219,718962.733
118,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.05994842503189409,100000.0,1e-13,70307.686,143070984601.341,2034926.656,1199168.501
119,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.1,100000.0,1e-13,113657.468,143070984601.341,1258790.883,2000200.0
120,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.001,100000.0,1e-13,5723.824,125891384681.349,21994281.304,20200.0
121,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.0016681005372000592,100000.0,1e-13,6360.111,125891384681.349,19793896.468,33562.011
122,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.0027825594022071257,100000.0,1e-13,7421.503,125891384681.349,16963057.169,55851.188
123,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.004641588833612777,100000.0,1e-13,9192.012,125891384681.349,13695737.864,93031.777
124,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.007742636826811269,100000.0,1e-13,12145.398,125891384681.349,10365356.783,155052.737
125,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.01291549665014884,100000.0,1e-13,17071.943,125891384681.349,7374168.382,258509.933
126,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.021544346900318832,100000.0,1e-13,25289.916,125891384681.349,4977928.139,431086.938
127,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.03593813663804626,100000.0,1e-13,38998.321,125891384681.349,3228123.219,718962.733
128,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.05994842503189409,100000.0,1e-13,61865.318,125891384681.349,2034926.656,1199168.501
129,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.1,100000.0,1e-13,100009.768,125891384681.349,1258790.883,2000200.0
130,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.001,100000.0,1e-13,5036.521,110774667422.249,21994281.304,20200.0
131,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.0016681005372000592,100000.0,1e-13,5596.405,110774667422.249,19793896.468,33562.011
132,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.0027825594022071257,100000.0,1e-13,6530.348,110774667422.249,16963057.169,55851.188
133,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.004641588833612777,100000.0,1e-13,8088.258,110774667422.249,13695737.864,93031.777
134,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.007742636826811269,100000.0,1e-13,10687.01,110774667422.249,10365356.783,155052.737
135,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.01291549665014884,100000.0,1e-13,15021.988,110774667422.249,7374168.382,258509.933
136,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.021544346900318832,100000.0,1e-13,22253.167,110774667422.249,4977928.139,431086.938
137,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.03593813663804626,100000.0,1e-13,34315.502,110774667422.249,3228123.219,718962.733
138,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.05994842503189409,100000.0,1e-13,54436.688,110774667422.249,2034926.656,1199168.501
139,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.1,100000.0,1e-13,88000.85,110774667422.249,1258790.883,2000200.0
140,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.001,100000.0,1e-13,4431.749,97473127121.207,21994281.304,20200.0
141,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.0016681005372000592,100000.0,1e-13,4924.403,97473127121.207,19793896.468,33562.011
142,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.0027825594022071257,100000.0,1e-13,5746.2,97473127121.207,16963057.169,55851.188
143,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.004641588833612777,100000.0,1e-13,7117.041,97473127121.207,13695737.864,93031.777
144,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.007742636826811269,100000.0,1e-13,9403.741,97473127121.207,10365356.783,155052.737
145,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.01291549665014884,100000.0,1e-13,13218.186,97473127121.207,7374168.382,258509.933
146,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.021544346900318832,100000.0,1e-13,19581.064,97473127121.207,4977928.139,431086.938
147,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.03593813663804626,100000.0,1e-13,30194.983,97473127121.207,3228123.219,718962.733
148,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.05994842503189409,100000.0,1e-13,47900.069,97473127121.207,2034926.656,1199168.501
149,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.1,100000.0,1e-13,77433.932,97473127121.207,1258790.883,2000200.0
150,200.00000000000003,2.782559402207126e-13,3.593813663804626e-10,0.001,100000.0,1e-13,3899.596,85768801946.128,21994281.304,20200.0
151,200.00000000000003,2.782559402207126e-13,3.593813663804626e-10,0.0016681005372000592,100000.0,1e-13,4333.093,85768801946.128,19793896.468,33562.011
