Freq.	V(ideal_out)	V(lpf_3rd_lt1818)
6.23734835482426e+04	(6.07971616167548e+01dB,-4.13491540704433e-01°)	(6.11434463240128e+01dB,-4.59101015454812e-01°)
6.30957344480200e+04	(6.07971594166358e+01dB,-4.18279514294509e-01°)	(6.11434440303519e+01dB,-4.64417116657635e-01°)
6.38263486190556e+04	(6.07971571652701e+01dB,-4.23122928853387e-01°)	(6.11434416832656e+01dB,-4.69794774075590e-01°)
6.45654229034663e+04	(6.07971548614640e+01dB,-4.28022426316732e-01°)	(6.11434392815094e+01dB,-4.75234700449074e-01°)
6.53130552647480e+04	(6.07971525039960e+01dB,-4.32978656052052e-01°)	(6.11434368238100e+01dB,-4.80737616770069e-01°)
6.60693448007603e+04	(6.07971500916162e+01dB,-4.37992274944702e-01°)	(6.11434343088644e+01dB,-4.86304252377493e-01°)
6.68343917568622e+04	(6.07971476230457e+01dB,-4.43063947484888e-01°)	(6.11434317353391e+01dB,-4.91935345053802e-01°)
6.76082975391989e+04	(6.07971450969756e+01dB,-4.48194345855669e-01°)	(6.11434291018697e+01dB,-4.97631641122843e-01°)
6.83911647281437e+04	(6.07971425120665e+01dB,-4.53384150021985e-01°)	(6.11434264070600e+01dB,-5.03393895548509e-01°)
6.91830970918945e+04	(6.07971398669481e+01dB,-4.58634047820707e-01°)	(6.11434236494812e+01dB,-5.09222872034852e-01°)
6.99841996002282e+04	(6.07971371602178e+01dB,-4.63944735051730e-01°)	(6.11434208276712e+01dB,-5.15119343127143e-01°)
7.07945784384146e+04	(6.07971343904406e+01dB,-4.69316915570121e-01°)	(6.11434179401341e+01dB,-5.21084090314213e-01°)
7.16143410212911e+04	(6.07971315561481e+01dB,-4.74751301379328e-01°)	(6.11434149853389e+01dB,-5.27117904131913e-01°)
7.24435960074999e+04	(6.07971286558374e+01dB,-4.80248612725470e-01°)	(6.11434119617190e+01dB,-5.33221584267851e-01°)
7.32824533138913e+04	(6.07971256879709e+01dB,-4.85809578192709e-01°)	(6.11434088676713e+01dB,-5.39395939667238e-01°)
7.41310241300927e+04	(6.07971226509750e+01dB,-4.91434934799737e-01°)	(6.11434057015554e+01dB,-5.45641788640033e-01°)
7.49894209332465e+04	(6.07971195432397e+01dB,-4.97125428097365e-01°)	(6.11434024616928e+01dB,-5.51959958969228e-01°)
7.58577575029193e+04	(6.07971163631171e+01dB,-5.02881812267246e-01°)	(6.11433991463656e+01dB,-5.58351288020587e-01°)
7.67361489361829e+04	(6.07971131089212e+01dB,-5.08704850221736e-01°)	(6.11433957538162e+01dB,-5.64816622853358e-01°)
7.76247116628701e+04	(6.07971097789268e+01dB,-5.14595313704913e-01°)	(6.11433922822459e+01dB,-5.71356820332548e-01°)
7.85235634610082e+04	(6.07971063713682e+01dB,-5.20553983394755e-01°)	(6.11433887298142e+01dB,-5.77972747242304e-01°)
7.94328234724292e+04	(6.07971028844390e+01dB,-5.26581649006507e-01°)	(6.11433850946376e+01dB,-5.84665280400744e-01°)
8.03526122185628e+04	(6.07970993162903e+01dB,-5.32679109397234e-01°)	(6.11433813747889e+01dB,-5.91435306775956e-01°)
8.12830516164110e+04	(6.07970956650304e+01dB,-5.38847172671587e-01°)	(6.11433775682959e+01dB,-5.98283723603442e-01°)
8.22242649947082e+04	(6.07970919287234e+01dB,-5.45086656288791e-01°)	(6.11433736731405e+01dB,-6.05211438504881e-01°)
8.31763771102682e+04	(6.07970881053885e+01dB,-5.51398387170861e-01°)	(6.11433696872575e+01dB,-6.12219369608408e-01°)
8.41395141645206e+04	(6.07970841929986e+01dB,-5.57783201812075e-01°)	(6.11433656085338e+01dB,-6.19308445669981e-01°)
8.51138038202388e+04	(6.07970801894793e+01dB,-5.64241946389712e-01°)	(6.11433614348070e+01dB,-6.26479606196405e-01°)
8.60993752184612e+04	(6.07970760927082e+01dB,-5.70775476876060e-01°)	(6.11433571638642e+01dB,-6.33733801569693e-01°)
8.70963589956092e+04	(6.07970719005133e+01dB,-5.77384659151723e-01°)	(6.11433527934411e+01dB,-6.41071993172838e-01°)
8.81048873008026e+04	(6.07970676106718e+01dB,-5.84070369120240e-01°)	(6.11433483212207e+01dB,-6.48495153517122e-01°)
8.91250938133757e+04	(6.07970632209095e+01dB,-5.90833492824018e-01°)	(6.11433437448319e+01dB,-6.56004266370716e-01°)
9.01571137605969e+04	(6.07970587288990e+01dB,-5.97674926561607e-01°)	(6.11433390618485e+01dB,-6.63600326888983e-01°)
9.12010839355922e+04	(6.07970541322587e+01dB,-6.04595577006332e-01°)	(6.11433342697878e+01dB,-6.71284341746199e-01°)
9.22571427154776e+04	(6.07970494285516e+01dB,-6.11596361326291e-01°)	(6.11433293661090e+01dB,-6.79057329268634e-01°)
9.33254300797004e+04	(6.07970446152840e+01dB,-6.18678207305735e-01°)	(6.11433243482126e+01dB,-6.86920319569495e-01°)
9.44060876285936e+04	(6.07970396899040e+01dB,-6.25842053467853e-01°)	(6.11433192134382e+01dB,-6.94874354685110e-01°)
9.54992586021449e+04	(6.07970346498004e+01dB,-6.33088849198973e-01°)	(6.11433139590635e+01dB,-7.02920488712892e-01°)
9.66050878989827e+04	(6.07970294923009e+01dB,-6.40419554874192e-01°)	(6.11433085823028e+01dB,-7.11059787950765e-01°)
9.77237220955824e+04	(6.07970242146712e+01dB,-6.47835141984463e-01°)	(6.11433030803057e+01dB,-7.19293331038264e-01°)
9.88553094656953e+04	(6.07970188141134e+01dB,-6.55336593265138e-01°)	(6.11432974501552e+01dB,-7.27622209099347e-01°)
1.00000000000001e+05	(6.07970132877642e+01dB,-6.62924902826000e-01°)	(6.11432916888665e+01dB,-7.36047525886539e-01°)
1.01157945425991e+05	(6.07970076326937e+01dB,-6.70601076282798e-01°)	(6.11432857933851e+01dB,-7.44570397927205e-01°)
