time	V(lpf_3rd_10mhz)	V(lpf_3rd_50mhz)
2.628310720022238e-08	5.284943e-01	-8.826899e-02
2.633310720022239e-08	5.304045e-01	-8.860452e-02
2.638310720022240e-08	5.323131e-01	-8.889988e-02
2.643310720022241e-08	5.342201e-01	-8.915505e-02
2.648310720022241e-08	5.361256e-01	-8.937005e-02
2.653310720022242e-08	5.380296e-01	-8.954487e-02
2.658310720022243e-08	5.399320e-01	-8.967952e-02
2.664025005736529e-08	5.421042e-01	-8.978405e-02
2.669739291450816e-08	5.442740e-01	-8.983654e-02
2.675453577165102e-08	5.464415e-01	-8.983701e-02
2.681167862879389e-08	5.486066e-01	-8.978543e-02
2.686882148593675e-08	5.507694e-01	-8.968183e-02
2.692596434307962e-08	5.529298e-01	-8.952619e-02
2.698310720022248e-08	5.550878e-01	-8.931851e-02
2.709310720022250e-08	5.592356e-01	-8.876959e-02
2.720310720022251e-08	5.633728e-01	-8.803578e-02
2.731310720022253e-08	5.674995e-01	-8.711708e-02
2.742310720022255e-08	5.716156e-01	-8.601349e-02
2.753310720022256e-08	5.757212e-01	-8.472501e-02
2.764310720022258e-08	5.798163e-01	-8.325164e-02
2.775310720022259e-08	5.839008e-01	-8.159337e-02
2.789739291450833e-08	5.892413e-01	-7.913769e-02
2.804167862879406e-08	5.945591e-01	-7.640429e-02
2.818596434307980e-08	5.998541e-01	-7.339319e-02
2.833025005736553e-08	6.051262e-01	-7.010437e-02
2.847453577165127e-08	6.103756e-01	-6.653784e-02
2.861882148593700e-08	6.156022e-01	-6.269359e-02
2.876310720022274e-08	6.208060e-01	-5.857164e-02
2.878739291450845e-08	6.216791e-01	-5.785688e-02
2.881167862879417e-08	6.225515e-01	-5.713532e-02
2.883596434307989e-08	6.234231e-01	-5.640697e-02
2.886025005736561e-08	6.242941e-01	-5.567182e-02
2.888453577165132e-08	6.251642e-01	-5.492988e-02
2.890882148593704e-08	6.260337e-01	-5.418114e-02
2.893310720022276e-08	6.269024e-01	-5.342561e-02
2.903739291450849e-08	6.306250e-01	-5.009620e-02
2.914167862879422e-08	6.343329e-01	-4.665984e-02
2.924596434307995e-08	6.380262e-01	-4.311653e-02
2.935025005736568e-08	6.417049e-01	-3.946627e-02
2.945453577165140e-08	6.453689e-01	-3.570906e-02
2.955882148593713e-08	6.490183e-01	-3.184490e-02
2.966310720022286e-08	6.526531e-01	-2.787380e-02
2.971310720022286e-08	6.543900e-01	-2.594140e-02
2.976310720022286e-08	6.561233e-01	-2.399004e-02
2.981310720022285e-08	6.578529e-01	-2.201970e-02
2.986310720022285e-08	6.595788e-01	-2.003040e-02
2.991310720022285e-08	6.613010e-01	-1.802214e-02
2.996310720022285e-08	6.630195e-01	-1.599490e-02
3.001310720022284e-08	6.647344e-01	-1.394870e-02
3.008739291450854e-08	6.672754e-01	-1.087465e-02
3.016167862879425e-08	6.698077e-01	-7.769624e-03
3.023596434307994e-08	6.723313e-01	-4.633627e-03
3.031025005736564e-08	6.748463e-01	-1.466656e-03
3.038453577165134e-08	6.773526e-01	1.731287e-03
3.045882148593705e-08	6.798503e-01	4.960204e-03
3.053310720022274e-08	6.823393e-01	8.220093e-03
3.054310720022274e-08	6.826737e-01	8.660171e-03
3.061310720022273e-08	6.850097e-01	1.175676e-02
3.068310720022272e-08	6.873375e-01	1.486881e-02
3.075310720022270e-08	6.896570e-01	1.799631e-02
3.082310720022269e-08	6.919683e-01	2.113926e-02
3.089310720022268e-08	6.942713e-01	2.429766e-02
3.096310720022266e-08	6.965661e-01	2.747152e-02
3.103310720022265e-08	6.988526e-01	3.066083e-02
3.109453577165121e-08	7.008521e-01	3.346675e-02
3.115596434307977e-08	7.028449e-01	3.627604e-02
3.121739291450833e-08	7.048310e-01	3.908870e-02
3.127882148593689e-08	7.068104e-01	4.190472e-02
3.134025005736545e-08	7.087830e-01	4.472411e-02
3.140167862879401e-08	7.107489e-01	4.754686e-02
3.146310720022257e-08	7.127081e-01	5.037298e-02
3.155882148593684e-08	7.157473e-01	5.478105e-02
3.165453577165110e-08	7.187692e-01	5.917241e-02
3.175025005736537e-08	7.217736e-01	6.354708e-02
3.184596434307964e-08	7.247607e-01	6.790505e-02
3.194167862879391e-08	7.277305e-01	7.224631e-02
3.203739291450817e-08	7.306828e-01	7.657088e-02
3.213310720022244e-08	7.336178e-01	8.087875e-02
3.223025005736528e-08	7.365783e-01	8.521836e-02
3.232739291450812e-08	7.395196e-01	8.951023e-02
3.242453577165095e-08	7.424417e-01	9.375435e-02
3.252167862879380e-08	7.453447e-01	9.795073e-02
3.261882148593664e-08	7.482285e-01	1.020994e-01
3.271596434307947e-08	7.510932e-01	1.062002e-01
3.281310720022231e-08	7.539387e-01	1.102534e-01
3.291167862879372e-08	7.568058e-01	1.143017e-01
3.301025005736513e-08	7.596519e-01	1.182713e-01
3.310882148593654e-08	7.624771e-01	1.221622e-01
3.320739291450795e-08	7.652813e-01	1.259744e-01
3.330596434307936e-08	7.680645e-01	1.297080e-01
3.340453577165077e-08	7.708267e-01	1.333628e-01
3.350310720022218e-08	7.735679e-01	1.369390e-01
3.353882148593646e-08	7.745557e-01	1.382090e-01
3.357453577165074e-08	7.755405e-01	1.394663e-01
3.361025005736502e-08	7.765225e-01	1.407108e-01
3.364596434307930e-08	7.775017e-01	1.419426e-01
3.368167862879358e-08	7.784780e-01	1.431616e-01
3.371739291450785e-08	7.794514e-01	1.443680e-01
3.375310720022213e-08	7.804219e-01	1.455616e-01
3.381882148593641e-08	7.822002e-01	1.477246e-01
3.388453577165068e-08	7.839686e-01	1.498391e-01
3.395025005736495e-08	7.857270e-01	1.519050e-01
3.401596434307923e-08	7.874754e-01	1.539224e-01
3.408167862879350e-08	7.892139e-01	1.558912e-01
3.414739291450777e-08	7.909424e-01	1.578116e-01
3.421310720022205e-08	7.926609e-01	1.596833e-01
3.429882148593632e-08	7.948873e-01	1.620482e-01
3.438453577165058e-08	7.970961e-01	1.643185e-01
3.447025005736485e-08	7.992873e-01	1.664945e-01
3.455596434307912e-08	8.014609e-01	1.685759e-01
3.464167862879340e-08	8.036168e-01	1.705630e-01
3.472739291450766e-08	8.057552e-01	1.724556e-01
3.481310720022193e-08	8.078759e-01	1.742538e-01
3.491167862879335e-08	8.102925e-01	1.761976e-01
3.501025005736475e-08	8.126849e-01	1.780022e-01
3.510882148593616e-08	8.150529e-01	1.796676e-01
3.520739291450757e-08	8.173967e-01	1.811937e-01
3.530596434307898e-08	8.197161e-01	1.825807e-01
3.540453577165039e-08	8.220112e-01	1.838284e-01
3.550310720022180e-08	8.242821e-01	1.849370e-01
3.555596434307894e-08	8.254894e-01	1.854700e-01
3.560882148593607e-08	8.266895e-01	1.859608e-01
