Freq.	V(n001)/I(Iin2)
2.21309470960565e+04	(-3.81790053407752e+00dB,7.87678417128833e+00°)
2.23872113856835e+04	(-3.81598212661198e+00dB,7.96681090463847e+00°)
2.26464430759307e+04	(-3.81401991062533e+00dB,8.05783921249815e+00°)
2.29086765276778e+04	(-3.81201290617830e+00dB,8.14987929395412e+00°)
2.31739464996849e+04	(-3.80996011236563e+00dB,8.24294141928974e+00°)
2.34422881531993e+04	(-3.80786050689825e+00dB,8.33703592920683e+00°)
2.37137370566167e+04	(-3.80571304569200e+00dB,8.43217323413541e+00°)
2.39883291901950e+04	(-3.80351666246124e+00dB,8.52836381341306e+00°)
2.42661009508243e+04	(-3.80127026829144e+00dB,8.62561821439754e+00°)
2.45470891568504e+04	(-3.79897275118692e+00dB,8.72394705153293e+00°)
2.48313310529558e+04	(-3.79662297569207e+00dB,8.82336100540920e+00°)
2.51188643150959e+04	(-3.79421978238308e+00dB,8.92387082161646e+00°)
2.54097270554932e+04	(-3.79176198748196e+00dB,9.02548730975174e+00°)
2.57039578276888e+04	(-3.78924838237530e+00dB,9.12822134208828e+00°)
2.60015956316529e+04	(-3.78667773314638e+00dB,9.23208385241822e+00°)
2.63026799189540e+04	(-3.78404878015472e+00dB,9.33708583467777e+00°)
2.66072505979883e+04	(-3.78136023752864e+00dB,9.44323834154319e+00°)
2.69153480392693e+04	(-3.77861079270582e+00dB,9.55055248291986e+00°)
2.72270130807793e+04	(-3.77579910598166e+00dB,9.65903942444848e+00°)
2.75422870333818e+04	(-3.77292380996988e+00dB,9.76871038576869e+00°)
2.78612116862979e+04	(-3.76998350918760e+00dB,9.87957663884214e+00°)
2.81838293126447e+04	(-3.76697677948572e+00dB,9.99164950611661e+00°)
2.85101826750393e+04	(-3.76390216762293e+00dB,1.01049403586079e+01°)
2.88403150312663e+04	(-3.76075819073234e+00dB,1.02194606139178e+01°)
2.91742701400119e+04	(-3.75754333579155e+00dB,1.03352217340982e+01°)
2.95120922666641e+04	(-3.75425605916697e+00dB,1.04522352234898e+01°)
2.98538261891798e+04	(-3.75089478607433e+00dB,1.05705126264404e+01°)
3.01995172040204e+04	(-3.74745791004053e+00dB,1.06900655248468e+01°)
3.05492111321553e+04	(-3.74394379243554e+00dB,1.08109055357294e+01°)
3.09029543251361e+04	(-3.74035076189411e+00dB,1.09330443085373e+01°)
3.12607936712398e+04	(-3.73667711383588e+00dB,1.10564935224789e+01°)
3.16227766016840e+04	(-3.73292110991021e+00dB,1.11812648836781e+01°)
3.19889510969142e+04	(-3.72908097746123e+00dB,1.13073701221836e+01°)
3.23593656929631e+04	(-3.72515490903434e+00dB,1.14348209889515e+01°)
3.27340694878841e+04	(-3.72114106180058e+00dB,1.15636292526049e+01°)
3.31131121482594e+04	(-3.71703755703718e+00dB,1.16938066961062e+01°)
3.34965439157830e+04	(-3.71284247959664e+00dB,1.18253651133428e+01°)
3.38844156139205e+04	(-3.70855387736816e+00dB,1.19583163055067e+01°)
3.42767786546453e+04	(-3.70416976074327e+00dB,1.20926720774017e+01°)
3.46736850452534e+04	(-3.69968810207183e+00dB,1.22284442335350e+01°)
3.50751873952571e+04	(-3.69510683513585e+00dB,1.23656445742120e+01°)
3.54813389233578e+04	(-3.69042385462987e+00dB,1.25042848913247e+01°)
3.58921934645008e+04	(-3.68563701559701e+00dB,1.26443769640811e+01°)
3.63078054770104e+04	(-3.68074413292351e+00dB,1.27859325545703e+01°)
3.67282300498088e+04	(-3.67574298082880e+00dB,1.29289634032131e+01°)
