Freq.,V(ideal_out).mag,V(ideal_out).phase,V(lpf_3rd_lt1818).mag,V(lpf_3rd_lt1818).phase
245470.8916,60.79579327,-1.627216927,61.14201982,-1.806700436
248313.3105,60.7957592,-1.646057212,61.14198431,-1.827618725
251188.6432,60.79572433,-1.665115588,61.14194796,-1.848779155
254097.2706,60.79568866,-1.684394576,61.14191077,-1.870184527
257039.5783,60.79565215,-1.70389673,61.14187271,-1.891837674
260015.9563,60.7956148,-1.72362463,61.14183377,-1.913741463
263026.7992,60.79557657,-1.743580887,61.14179392,-1.935898792
266072.506,60.79553745,-1.763768144,61.14175314,-1.958312594
269153.4804,60.79549743,-1.784189072,61.14171142,-1.980985836
272270.1308,60.79545647,-1.804846373,61.14166872,-2.003921518
275422.8703,60.79541455,-1.825742783,61.14162502,-2.027122676
278612.1169,60.79537166,-1.846881065,61.14158031,-2.050592379
281838.2931,60.79532778,-1.868264018,61.14153456,-2.074333733
285101.8268,60.79528287,-1.889894471,61.14148774,-2.098349881
288403.1503,60.79523691,-1.911775287,61.14143984,-2.122643999
291742.7014,60.79518988,-1.933909361,61.14139081,-2.147219302
295120.9227,60.79514176,-1.956299622,61.14134065,-2.172079043
298538.2619,60.79509252,-1.978949031,61.14128932,-2.197226508
301995.172,60.79504213,-2.001860587,61.14123679,-2.222665026
305492.1113,60.79499057,-2.025037319,61.14118304,-2.248397963
309029.5433,60.79493781,-2.048482295,61.14112804,-2.27442872
312607.9367,60.79488382,-2.072198615,61.14107175,-2.300760744
316227.766,60.79482857,-2.096189417,61.14101416,-2.327397515
319889.511,60.79477203,-2.120457875,61.14095522,-2.354342557
323593.6569,60.79471418,-2.145007198,61.14089492,-2.381599435
327340.6949,60.79465498,-2.169840634,61.1408332,-2.409171752
331131.1215,60.7945944,-2.194961466,61.14077006,-2.437063155
334965.4392,60.79453242,-2.220373018,61.14070544,-2.465277333
338844.1561,60.79446899,-2.246078649,61.14063931,-2.493818016
342767.7865,60.79440408,-2.272081759,61.14057165,-2.522688977
346736.8505,60.79433766,-2.298385786,61.14050241,-2.551894035
350751.874,60.79426969,-2.324994208,61.14043156,-2.581437049
354813.3892,60.79420014,-2.351910543,61.14035906,-2.611321927
358921.9346,60.79412898,-2.37913835,61.14028488,-2.641552618
363078.0548,60.79405615,-2.406681229,61.14020896,-2.672133118
367282.3005,60.79398163,-2.434542819,61.14013128,-2.703067469
371535.2291,60.79390538,-2.462726805,61.14005179,-2.73435976
375837.4043,60.79382734,-2.49123691,61.13997045,-2.766014127
380189.3963,60.7937475,-2.520076904,61.13988721,-2.798034751
384591.782,60.79366579,-2.549250597,61.13980204,-2.830425866
389045.145,60.79358218,-2.578761845,61.13971488,-2.863191749
393550.0755,60.79349662,-2.608614547,61.1396257,-2.896336731
398107.1706,60.79340908,-2.638812648,61.13953444,-2.92986519
402717.0343,60.79331949,-2.669360137,61.13944105,-2.963781555
407380.2778,60.79322782,-2.70026105,61.1393455,-2.998090306
412097.5191,60.79313401,-2.731519469,61.13924771,-3.032795975
416869.3835,60.79303802,-2.763139522,61.13914765,-3.067903144
421696.5034,60.7929398,-2.795125387,61.13904526,-3.103416452
426579.5188,60.79283929,-2.827481287,61.13894049,-3.139340585
431519.0768,60.79273644,-2.860211494,61.13883328,-3.175680288
436515.8322,60.79263119,-2.893320332,61.13872357,-3.212440359
441570.4474,60.7925235,-2.92681217,61.13861131,-3.249625649
446683.5922,60.79241329,-2.960691432,61.13849644,-3.287241068
451855.9444,60.79230053,-2.994962588,61.13837889,-3.32529158
457088.1896,60.79218513,-3.029630163,61.13825861,-3.363782206
462381.0214,60.79206705,-3.064698732,61.13813553,-3.402718026
467735.1413,60.79194623,-3.100172923,61.13800958,-3.442104176
473151.259,60.79182259,-3.136057417,61.1378807,-3.481945853
478630.0923,60.79169607,-3.172356949,61.13774883,-3.522248313
484172.3676,60.79156661,-3.209076307,61.13761388,-3.563016871
489778.8194,60.79143413,-3.246220335,61.13747579,-3.604256905
495450.1908,60.79129857,-3.283793933,61.13733449,-3.645973852
501187.2336,60.79115985,-3.321802055,61.1371899,-3.688173214
506990.7083,60.79101791,-3.360249714,61.13704195,-3.730860552
512861.384,60.79087266,-3.39914198,61.13689055,-3.774041496
518800.0389,60.79072403,-3.438483978,61.13673563,-3.817721735
524807.4602,60.79057195,-3.478280896,61.1365771,-3.861907027
530884.4442,60.79041632,-3.518537979,61.13641489,-3.906603193
537031.7964,60.79025707,-3.559260531,61.1362489,-3.951816123
543250.3315,60.79009412,-3.600453919,61.13607905,-3.997551772
549540.8739,60.78992737,-3.64212357,61.13590525,-4.043816164
555904.2573,60.78975674,-3.684274973,61.1357274,-4.090615393
