time,V(lpf_3rd_10mhz),V(lpf_3rd_50mhz)
4.23831E-08,0.914619,-0.03358782
4.24631E-08,0.9148147,-0.03749532
4.25431E-08,0.9149896,-0.04137162
4.26231E-08,0.9151439,-0.04521671
4.27388E-08,0.9153304,-0.05071586
4.28545E-08,0.9154732,-0.0561086
4.29703E-08,0.9155725,-0.06139492
4.3086E-08,0.9156281,-0.06657483
4.32017E-08,0.91564,-0.07164833
4.33174E-08,0.9156084,-0.07661542
4.34331E-08,0.9155331,-0.08147609
4.36531E-08,0.9152689,-0.09032612
4.36945E-08,0.9152014,-0.0919379
4.3736E-08,0.9151283,-0.09353082
4.37774E-08,0.9150496,-0.0951049
4.38188E-08,0.9149652,-0.09666012
4.38603E-08,0.9148752,-0.0981965
4.39017E-08,0.9147795,-0.09971402
4.39431E-08,0.9146782,-0.1012127
4.40174E-08,0.9144825,-0.1038525
4.40917E-08,0.9142687,-0.1064243
4.4166E-08,0.9140368,-0.1089281
4.42403E-08,0.9137866,-0.1113639
4.43145E-08,0.9135184,-0.1137316
4.43888E-08,0.913232,-0.1160314
4.44631E-08,0.9129274,-0.1182631
4.4576E-08,0.9124299,-0.1215185
4.46888E-08,0.9118905,-0.1245947
4.48017E-08,0.9113091,-0.1274918
4.49145E-08,0.9106858,-0.1302097
4.50274E-08,0.9100204,-0.1327484
4.51403E-08,0.9093131,-0.1351079
4.52531E-08,0.9085639,-0.1372883
4.53188E-08,0.9081082,-0.1384672
4.53845E-08,0.9076383,-0.1395805
4.54503E-08,0.9071542,-0.1406282
4.5516E-08,0.9066558,-0.1416101
4.55817E-08,0.9061432,-0.1425264
4.56474E-08,0.9056164,-0.143377
4.57131E-08,0.9050754,-0.144162
4.57503E-08,0.9047633,-0.1445757
4.57874E-08,0.9044466,-0.1449679
4.58245E-08,0.9041254,-0.1453385
4.58617E-08,0.9037997,-0.1456876
4.58988E-08,0.9034694,-0.1460153
4.5936E-08,0.9031346,-0.1463214
4.59731E-08,0.9027952,-0.146606
4.60531E-08,0.9020488,-0.1471454
4.61331E-08,0.9012813,-0.1475838
4.62131E-08,0.9004928,-0.1479211
4.62931E-08,0.8996833,-0.1481574
4.63731E-08,0.8988527,-0.1482927
4.64531E-08,0.898001,-0.1483268
4.65331E-08,0.8971283,-0.14826
4.65803E-08,0.8966043,-0.148173
4.66274E-08,0.8960729,-0.1480512
4.66745E-08,0.8955342,-0.1478943
4.67217E-08,0.8949882,-0.1477026
4.67688E-08,0.894435,-0.1474759
4.6816E-08,0.8938744,-0.1472143
4.68631E-08,0.8933066,-0.1469178
4.6976E-08,0.8919175,-0.1460627
4.70888E-08,0.8904868,-0.1450144
4.72017E-08,0.8890145,-0.1437729
4.73145E-08,0.8875007,-0.1423381
4.74274E-08,0.8859452,-0.1407101
4.75403E-08,0.8843482,-0.1388889
4.76531E-08,0.8827095,-0.1368745
4.77745E-08,0.8809001,-0.1344949
4.7896E-08,0.8790429,-0.1319154
4.80174E-08,0.877138,-0.1291359
4.81388E-08,0.8751855,-0.1261565
4.82603E-08,0.8731852,-0.1229772
4.83817E-08,0.8711372,-0.1195978
4.85031E-08,0.8690414,-0.1160185
4.85645E-08,0.8679633,-0.1141419
4.8626E-08,0.866873,-0.1122212
4.86874E-08,0.8657706,-0.1102563
4.87488E-08,0.8646561,-0.1082472
4.88103E-08,0.8635296,-0.106194
4.88717E-08,0.8623909,-0.1040967
4.89331E-08,0.8612401,-0.1019553
